"Date","Mean"
00:00:00 01/20/2001,      63.490
00:00:00 01/21/2001,      58.320
00:00:00 01/22/2001,      52.530
00:00:00 01/23/2001,      47.260
00:00:00 01/24/2001,      68.960
00:00:00 01/25/2001,      95.350
00:00:00 01/26/2001,     187.560
00:00:00 01/27/2001,     164.270
00:00:00 01/28/2001,     131.300
00:00:00 01/29/2001,     114.220
00:00:00 01/30/2001,     102.540
00:00:00 01/31/2001,      94.400
00:00:00 02/01/2001,      88.640
00:00:00 02/02/2001,      82.050
00:00:00 02/03/2001,      75.210
00:00:00 02/04/2001,      70.720
00:00:00 02/05/2001,      67.600
00:00:00 02/06/2001,      63.540
00:00:00 02/07/2001,      58.710
00:00:00 02/08/2001,      56.160
00:00:00 02/09/2001,      63.560
00:00:00 02/10/2001,     102.890
00:00:00 02/11/2001,     231.290
00:00:00 02/12/2001,     311.420
00:00:00 02/13/2001,     240.830
00:00:00 02/14/2001,     192.180
00:00:00 02/15/2001,     162.290
00:00:00 02/16/2001,     138.390
00:00:00 02/17/2001,     120.840
00:00:00 02/18/2001,     117.010
00:00:00 02/19/2001,     205.130
00:00:00 02/20/2001,     290.100
00:00:00 02/21/2001,     267.950
00:00:00 02/22/2001,     258.590
00:00:00 02/23/2001,     314.340
00:00:00 02/24/2001,     318.730
00:00:00 02/25/2001,     350.230
00:00:00 02/26/2001,     326.360
00:00:00 02/27/2001,     290.670
00:00:00 02/28/2001,     252.760
00:00:00 03/01/2001,     231.940
00:00:00 03/02/2001,     219.500
00:00:00 03/03/2001,     203.260
00:00:00 03/04/2001,     568.190
00:00:00 03/05/2001,    1730.990
00:00:00 03/06/2001,     990.630
00:00:00 03/07/2001,     712.810
00:00:00 03/08/2001,     558.640
00:00:00 03/09/2001,     465.870
00:00:00 03/10/2001,     408.060
00:00:00 03/11/2001,     355.940
00:00:00 03/12/2001,     315.160
00:00:00 03/13/2001,     284.890
00:00:00 03/14/2001,     259.770
00:00:00 03/15/2001,     240.280
00:00:00 03/16/2001,     229.080
00:00:00 03/17/2001,     211.610
00:00:00 03/18/2001,     193.800
00:00:00 03/19/2001,     179.750
00:00:00 03/20/2001,     160.660
00:00:00 03/21/2001,     146.020
00:00:00 03/22/2001,     141.420
00:00:00 03/23/2001,     132.870
00:00:00 03/24/2001,     123.550
00:00:00 03/25/2001,     119.750
00:00:00 03/26/2001,     113.610
00:00:00 03/27/2001,     107.880
00:00:00 03/28/2001,     104.700
00:00:00 03/29/2001,      98.410
00:00:00 03/30/2001,      93.900
00:00:00 03/31/2001,      92.350
00:00:00 04/01/2001,      90.140
00:00:00 04/02/2001,      84.750
00:00:00 04/03/2001,      80.180
00:00:00 04/04/2001,      78.790
00:00:00 04/05/2001,      75.470
00:00:00 04/06/2001,      78.410
00:00:00 04/07/2001,     102.920
00:00:00 04/08/2001,     108.680
00:00:00 04/09/2001,      97.200
00:00:00 04/10/2001,      93.520
00:00:00 04/11/2001,      86.820
00:00:00 04/12/2001,      86.650
00:00:00 04/13/2001,      83.150
00:00:00 04/14/2001,      80.410
00:00:00 04/15/2001,      78.530
00:00:00 04/16/2001,      77.320
00:00:00 04/17/2001,      72.730
00:00:00 04/18/2001,      70.410
00:00:00 04/19/2001,      74.850
00:00:00 04/20/2001,      80.500
00:00:00 04/21/2001,     135.210
00:00:00 04/22/2001,     118.000
00:00:00 04/23/2001,     106.750
00:00:00 04/24/2001,     103.160
00:00:00 04/25/2001,      97.990
00:00:00 04/26/2001,      91.150
00:00:00 04/27/2001,      83.240
00:00:00 04/28/2001,      81.240
00:00:00 04/29/2001,      80.740
00:00:00 04/30/2001,      77.850
00:00:00 05/01/2001,      71.450
00:00:00 05/02/2001,      66.130
00:00:00 05/03/2001,      63.160
00:00:00 05/04/2001,      59.690
00:00:00 05/05/2001,      58.590
00:00:00 05/06/2001,      56.220
00:00:00 05/07/2001,      53.090
